,A,B,C,D,E,F1,G,H,I,J
A,1,1.9371876229010645,2.1453011130419752,1.6231804531485896,1.83461904953993,1.3163915516335856,1.2230804674976798,1.7754860602366944,1.2380877829697459,1.4169406259429542
B,2.4558654257668153,1,4.166186045685537,3.496520232128731,3.481247064627492,2.2520185738393117,2.088660308878574,3.2766486478177117,2.3757363562346017,2.447623789828923
C,3.301383186223101,3.8399922743743837,1,2.4738324311568376,3.3340832884668448,1.656315316768482,1.4521044793987967,3.127122161954132,1.589945746091407,1.9811878810684393
D,2.6146565534340684,4.149192430288907,3.2313163492494534,1,3.867787198676397,2.3524215892245643,2.058757465599798,3.797952910848086,2.5626353880178936,2.6649590126462845
E,3.5348469919979424,4.79838691959834,4.636152239804529,2.962421326243503,1,1.7565323090893448,1.4921120793636131,4.625354654817798,1.7545912181476613,2.2801409422211387
F1,2.8936901761988887,4.395979363748539,3.9381486120915787,4.614086819987335,4.135107958905915,1,4.004979840715816,4.203937413923197,3.7671026527165052,4.535172219119916
G,3.162533331995187,4.534136464152103,4.017976915621243,4.7066416544921115,4.16643580432977,5.4415971404068495,1,4.248939973151492,4.553381138660422,4.440140689939156
H,4.669730012883949,5.811062502034104,6.039225696385635,3.0986430964155613,6.858511084223614,1.4997784865384187,1.2137944060489774,1,1.3755185114518704,1.9303412574968126
I,3.520725561740151,5.088291842166599,3.898840115967221,5.821853280465766,4.044465875852218,4.151552433054348,3.2362412809631658,4.073923336787704,1,4.084094728897127
J,4.11073246342358,5.590914771160962,5.072617574748306,5.569024114826044,5.430833242534173,2.723162939886624,2.095719948841565,5.239489421261515,2.4951118724923695,1
